NC_039597.1	2	69543	path1	2	67944	plus	97.070	69591	159942	153931	67552	342	1697
NC_039597.1	69372	107479	path1	67938	105281	plus	96.954	38186	159942	153931	37023	243	920
NC_039597.1	112268	136462	path1	108575	132249	plus	97.558	24202	159942	153931	23611	57	534
NC_039597.1	141251	159937	path1	135543	153930	plus	98.170	18690	159942	153931	18348	37	305
NC_039597.1	44318	44443	path1	41064	41189	plus	80.952	126	159942	153931	102	24	0
NC_039597.1	42094	42219	path1	43245	43369	plus	78.571	126	159942	153931	99	26	1
NC_039597.1	125529	125570	path1	46045	46086	plus	97.619	42	159942	153931	41	1	0
NC_039597.1	47193	47234	path1	121560	121601	plus	97.619	42	159942	153931	41	1	0
NC_039597.1	125532	125571	path1	101178	101217	plus	97.500	40	159942	153931	39	1	0
NC_039597.1	103308	103347	path1	121563	121602	plus	97.500	40	159942	153931	39	1	0
NC_039597.1	103308	103349	path1	46048	46089	plus	95.238	42	159942	153931	40	2	0
NC_039597.1	47196	47234	path1	101178	101216	plus	97.436	39	159942	153931	38	1	0
NC_039597.1	103309	103357	path1	45111	45159	plus	85.714	49	159942	153931	42	7	0
