NC_039597.1	88803	157221	path1	89885	156583	plus	92.089	69436	159942	156583	63943	1739	3754
NC_039597.1	157223	159937	path1	1	2663	plus	97.937	2715	159942	156583	2659	4	52
NC_039597.1	47193	47234	path1	125573	125614	plus	97.619	42	159942	156583	41	1	0
NC_039597.1	103308	103347	path1	125576	125615	plus	97.500	40	159942	156583	39	1	0
NC_039597.1	145384	145422	path1	43741	43779	plus	97.436	39	159942	156583	38	1	0
NC_039597.1	125532	125571	path1	103923	103963	plus	95.122	41	159942	156583	39	1	1
NC_039597.1	47196	47234	path1	103923	103962	plus	95.000	40	159942	156583	38	1	1
NC_039597.1	67700	67741	path1	23580	23621	plus	88.095	42	159942	156583	37	5	0
NC_039597.1	56039	56076	path1	35072	35109	plus	92.308	39	159942	156583	36	1	2
NC_039597.1	50041	50102	path1	35115	35176	plus	74.194	62	159942	156583	46	16	0
